file_path,Stress_Level
audio_files\Actor_01\03-01-01-01-01-01-01.wav,0
audio_files\Actor_01\03-01-01-01-01-02-01.wav,0
audio_files\Actor_01\03-01-01-01-02-01-01.wav,0
audio_files\Actor_01\03-01-01-01-02-02-01.wav,0
audio_files\Actor_01\03-01-02-01-01-01-01.wav,0
audio_files\Actor_01\03-01-02-01-01-02-01.wav,0
audio_files\Actor_01\03-01-02-01-02-01-01.wav,0
audio_files\Actor_01\03-01-02-01-02-02-01.wav,0
audio_files\Actor_01\03-01-02-02-01-01-01.wav,0
audio_files\Actor_01\03-01-02-02-01-02-01.wav,0
audio_files\Actor_01\03-01-02-02-02-01-01.wav,0
audio_files\Actor_01\03-01-02-02-02-02-01.wav,0
audio_files\Actor_01\03-01-05-01-01-01-01.wav,1
audio_files\Actor_01\03-01-05-01-01-02-01.wav,1
audio_files\Actor_01\03-01-05-01-02-01-01.wav,1
audio_files\Actor_01\03-01-05-01-02-02-01.wav,1
audio_files\Actor_01\03-01-05-02-01-01-01.wav,1
audio_files\Actor_01\03-01-05-02-01-02-01.wav,1
audio_files\Actor_01\03-01-05-02-02-01-01.wav,1
audio_files\Actor_01\03-01-05-02-02-02-01.wav,1
audio_files\Actor_01\03-01-06-01-01-01-01.wav,1
audio_files\Actor_01\03-01-06-01-01-02-01.wav,1
audio_files\Actor_01\03-01-06-01-02-01-01.wav,1
audio_files\Actor_01\03-01-06-01-02-02-01.wav,1
audio_files\Actor_01\03-01-06-02-01-01-01.wav,1
audio_files\Actor_01\03-01-06-02-01-02-01.wav,1
audio_files\Actor_01\03-01-06-02-02-01-01.wav,1
audio_files\Actor_01\03-01-06-02-02-02-01.wav,1
audio_files\Actor_02\03-01-01-01-01-01-02.wav,0
audio_files\Actor_02\03-01-01-01-01-02-02.wav,0
audio_files\Actor_02\03-01-01-01-02-01-02.wav,0
audio_files\Actor_02\03-01-01-01-02-02-02.wav,0
audio_files\Actor_02\03-01-02-01-01-01-02.wav,0
audio_files\Actor_02\03-01-02-01-01-02-02.wav,0
audio_files\Actor_02\03-01-02-01-02-01-02.wav,0
audio_files\Actor_02\03-01-02-01-02-02-02.wav,0
audio_files\Actor_02\03-01-02-02-01-01-02.wav,0
audio_files\Actor_02\03-01-02-02-01-02-02.wav,0
audio_files\Actor_02\03-01-02-02-02-01-02.wav,0
audio_files\Actor_02\03-01-02-02-02-02-02.wav,0
audio_files\Actor_02\03-01-05-01-01-01-02.wav,1
audio_files\Actor_02\03-01-05-01-01-02-02.wav,1
audio_files\Actor_02\03-01-05-01-02-01-02.wav,1
audio_files\Actor_02\03-01-05-01-02-02-02.wav,1
audio_files\Actor_02\03-01-05-02-01-01-02.wav,1
audio_files\Actor_02\03-01-05-02-01-02-02.wav,1
audio_files\Actor_02\03-01-05-02-02-01-02.wav,1
audio_files\Actor_02\03-01-05-02-02-02-02.wav,1
